,w/c,Water (kg/m3),Cement (kg/m3),Fly Ash (kg/m3),Type A,Type D,ASTM C494 Type F (g/kg),Slag (kg/m3),Superplasticizer (kg/m3),Fine Aggregate (kg/m3),Coarse Aggregate (kg),Limestone (kg/m3),Filler (kg/m3),RCA (kg/m3),Silica Fume (kg/m3),,,3 days,7 days,28 days,120 days
42,0.51,168,152,178,0,0,0,139,18,695,944,0,0,0,0,0,,,,38.9,
43,1.24,183,148,0,0,0,0,180,11,757,972,0,0,0,0,0,,,,18.5,
44,0.56,174,142,167,0,0,0,130,11,785,883,0,0,0,0,0,,,,36.7,
45,0.32,160,332,170,0,0,0,0,6,806,900,0,0,0,0,0,,,,58.5,
46,0.46,180,276,116,0,0,0,90,9,768,870,0,0,0,0,0,,,,44.1,
47,0.40,166,172,238.5,0,0,0,162.1,7.4,641.4,953.3,0,0,0,0,0,,,,41.5,
48,0.40,166.4,172.8,239.5,0,0,0,158.3,7.4,644.1,952.6,0,0,0,0,0,,,,41.8,
49,0.42,179,184.3,239.2,0,0,0,153.4,7.5,640.9,920.2,0,0,0,0,0,,,,41.0,
50,0.35,168.9,248.3,239.1,0,0,0,101,7.7,640.6,954.2,0,0,0,0,0,,,,50.0,
51,0.35,175.3,258.8,239.6,0,0,0,88,7.6,646,938.9,0,0,0,0,0,,,,50.5,
52,0.27,95.2,350,0,0,0,0,0,0,575.9,1273,0,0,0,0,0,,,,61.1,
53,0.28,97.6,339.5,0,0,0,0,0,0,535,1247,0,10.5,0,0,0,,,,62.2,
54,0.28,97.6,336,0,0,0,0,0,0,535,1247,0,14,0,0,0,,,,54.5,
55,0.28,97.6,329,0,0,0,0,0,0,535,1247,0,21,0,0,0,,,,52.2,
56,0.29,117.8,410,0,0,0,0,0,0,491.2,1273,0,0,0,0,0,,,,59.9,
57,0.29,100.9,350,0,0,0,0,0,0,460.3,1419.8,0,0,0,0,0,,,,61.9,
58,0.29,102.6,350,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,64.2,
59,0.3,105.6,332.5,0,0,0,0,0,0,535,1247,0,0,0,17.5,0,,,,62.2,
60,0.31,118.1,380,0,0,0,0,0,0,354.2,1440.6,0,0,0,0,0,,,,60.5,
61,0.31,107.6,350,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,61.5,
62,0.31,107.6,343,0,0,0,0,0,0,535,1247,0,7,0,0,0,,,,61.2,
63,0.32,103.2,320,0,0,0,0,0,0,665.6,1234.2,0,57,0,0,0,,,,60.3,
64,0.34,120.4,350,0,0,0,0,0,0,526.2,1325.4,0,0,0,0,0,,,,63.5,
65,0.37,129.9,332.5,0,0,0,0,0,0,509.8,1325.4,0,0,0,17.5,0,,,,61.4,
66,0.31,115.6,346,0,0,0,0,0,0,484,1289,0,156.3,0,27.3,0,,,,76.7,
67,0.35,95,252.6,0,0,0,0,0,0,828,1206,0,0,0,19.6,0,,,,66.7,
68,0.35,129.9,345.2,0,0,0,0,0,0,482,1282,0,155.5,0,27.1,0,,,,71.2,
69,0.37,136.9,343,0,0,0,0,0,0,480,1278,0,154.9,0,27,0,,,,71.2,
70,0.38,103.4,252.6,0,0,0,0,0,0,836,1063,0,135,0,19.6,0,,,,62.7,
71,0.38,98.4,258.9,0,0,0,0,0,0,835,1083,0,135,0,0,0,,,,55.0,
72,0.35,135,270,0,0,0,0,0,0,849,1038.4,0,0,0,38,0,,,,47.0,
73,0.35,135,270,0,0,0,0,0,0,849,1038.4,0,0,0,38,0,,,,44.0,
74,0.42,85.6,204,0,0,0,0,0,0,1288,773,0,0,0,0,0,,,,12.0,
75,0.42,85.6,204,0,0,0,0,0,0,1145,916,0,0,0,0,0,,,,13.0,
76,0.42,85.6,204,0,0,0,0,0,0,1030,1030,0,0,0,0,0,,,,14.0,
77,0.42,85.6,204,0,0,0,0,0,0,937,1123,0,0,0,0,0,,,,27.0,
78,0.42,85.6,204,0,0,0,0,0,0,859,1202,0,0,0,0,0,,,,28.0,
79,0.42,85.6,204,0,0,0,0,0,0,793,1268,0,0,0,0,0,,,,29.0,
80,0.42,85.6,204,0,0,0,0,0,0,736,1325,0,0,0,0,0,,,,30.0,
81,0.42,112.8,268,0,0,0,0,0,0,1230,738,0,0,0,0,0,,,,30.0,
82,0.42,112.8,268,0,0,0,0,0,0,1094,875,0,0,0,0,0,,,,31.0,
83,0.42,112.8,268,0,0,0,0,0,0,984,984,0,0,0,0,0,,,,32.0,
84,0.42,112.8,268,0,0,0,0,0,0,895,1074,0,0,0,0,0,,,,36.0,
85,0.42,112.8,268,0,0,0,0,0,0,820,1148,0,0,0,0,0,,,,37.0,
86,0.42,112.8,268,0,0,0,0,0,0,757,1211.5,0,0,0,0,0,,,,39.0,
87,0.42,112.8,268,0,0,0,0,0,0,703,1266,0,0,0,0,0,,,,40.0,
88,0.55,154,280,0,0,0,0,0,0,1080,796,98,0,0,0,0,,,,27.3,
89,0.5,140,280,0,0,0,0,0,0.56,110,810,100,0,0,0,0,,,,30.7,
90,0.45,126,280,0,0,0,0,0,1.12,1120,825,102,0,0,0,0,,,,33.1,
91,0.4,112,280,0,0,0,0,0,1.68,1140,840,104,0,0,0,0,,,,37.4,
92,0.35,98,280,0,0,0,0,0,2.8,1160,855,106,0,0,0,0,,,,48.3,
93,0.3,84,280,0,0,0,0,0,4.2,1180,870,108,0,0,0,0,,,,56.9,
94,0.58,140,240,0,0,0,0,0,0.56,1120,820,102,0,0,0,0,,,,23.5,
95,0.54,140,260,0,0,0,0,0,0.56,1110,815,101,0,0,0,0,,,,28.3,
96,0.5,140,280,0,0,0,0,0,0.56,1100,810,100,0,0,0,0,,,,30.7,
97,0.47,140,300,0,0,0,0,0,0.56,1090,805,99,0,0,0,0,,,,33.7,
98,0.44,140,320,0,0,0,0,0,0.56,1080,800,98,0,0,0,0,,,,35.5,
99,0.41,140,340,0,0,0,0,0,0.56,1070,795,97,0,0,0,0,,,,36.5,
100,0.42,85.6,204,0,0,0,0,0,0,1288,733,0,0,0,0,0,,,,12.5,
101,0.42,85.6,204,0,0,0,0,0,0,1145,916,0,0,0,0,0,,,,12.5,
102,0.42,85.6,204,0,0,0,0,0,0,1030,1030,0,0,0,0,0,,,,14.5,
103,0.42,85.6,204,0,0,0,0,0,0,937,1123,0,0,0,0,0,,,,27.5,
104,0.42,85.6,204,0,0,0,0,0,0,859,1202,0,0,0,0,0,,,,29.0,
105,0.42,85.6,204,0,0,0,0,0,0,793,1268,0,0,0,0,0,,,,29.5,
106,0.42,85.6,204,0,0,0,0,0,0,736,1325,0,0,0,0,0,,,,30.0,
107,0.42,112.8,268,0,0,0,0,0,0,1230,738,0,0,0,0,0,,,,30.0,
108,0.42,112.8,268,0,0,0,0,0,0,1094,875,0,0,0,0,0,,,,31.0,
109,0.42,112.8,268,0,0,0,0,0,0,984,984,0,0,0,0,0,,,,32.5,
110,0.42,112.8,268,0,0,0,0,0,0,895,1074,0,0,0,0,0,,,,36.0,
111,0.42,112.8,268,0,0,0,0,0,0,820,1158,0,0,0,0,0,,,,37.5,
112,0.42,112.8,268,0,0,0,0,0,0,757,1211.5,0,0,0,0,0,,,,38.5,
113,0.42,112.8,268,0,0,0,0,0,0,703,1266,0,0,0,0,0,,,,40.5,
114,0.25,93,374,0,0,0,0,0,0,1767,190,0,0,0,0,0,,,21.2,,
115,0.28,100,357,0,0,0,0,0,0,1926,0,0,0,0,0,0,,,26.4,,
116,0.3,100,333,0,0,0,0,0,0,1945,0,0,0,0,0,0,,,20.7,,
117,0.27,107,395,0,0,0,0,0,0,1712,0,0,0,0,0,0,,,24.6,34.1,
118,0.3,106.4,354.6,0,5.4,0,0,0,0,684.5,765.5,0,0,0,0,0,,,,11.0,
119,0.4,141.8,354.6,0,5.4,0,0,0,0,684.5,765.5,0,0,0,0,0,,,,47.6,
120,0.45,159.6,354.6,0,5.4,0,0,0,0,684.5,765.5,0,0,0,0,0,,,,45.6,
121,0.45,160.4,356.4,0,3.6,0,0,0,0,684.5,765.5,0,0,0,0,0,,,,31.7,
122,0.35,124.1,354.6,0,0,5.4,0,0,0,684.5,765.5,0,0,0,0,0,,,,48.0,
123,0.45,159.6,354.6,0,0,5.4,0,0,0,684.5,765.5,0,0,0,0,0,,,,52.0,
124,0.3,106.9,356.4,0,0,0,3.6,0,0,684.5,765.5,0,0,0,0,0,,,,58.5,
125,0.35,124.7,356.4,0,0,0,3.6,0,0,684.5,765.5,0,0,0,0,0,,,,63.5,
126,0.45,160.4,356.4,0,0,0,3.6,0,0,684.5,765.5,0,0,0,0,0,,,,56.0,
127,0.35,140,240,160,0,0,0,0,0,637,1158,0,0,0,0,0,,,,54.8,
128,0.35,140,200,200,0,0,0,0,0,637,1158,0,0,0,0,0,,,,41.1,
129,0.35,140,160,240,0,0,0,0,0,637,1158,0,0,0,0,0,,,,50.3,
130,0.35,140,120,280,0,0,0,0,0,637,1158,0,0,0,0,0,,,,95.1,
131,0.3,93,309,0,0,0,0,0,0,72.6,1452.3,0,0,0,0,0, , , ,16.5, 
